date,campaign_name,ad_set_name,placement,age,gender,region,impressions,reach,clicks,cost,user_id,conversions,revenue,purchase_roas,cpc,ctr
2024-07-11 14:07:22.323296,Brand Awareness,Set 1,Feed,55-64,Male,Illinois,5058,4604,100,94.37,UID28,4,314.62,3.33,0.94,0.0198
2024-08-25 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,18-24,Female,Texas,9195,5671,213,155.85,UID338,4,275.9,1.77,0.73,0.0232
2024-08-16 14:07:22.323296,Brand Awareness,Set 1,Marketplace,25-34,Female,New York,3875,3227,142,301.03,UID33,4,416.2,1.38,2.12,0.0366
2024-08-05 14:07:22.323296,Product Launch,Set 3,Video Feeds,35-44,Female,Florida,6255,4890,189,146.96,UID259,6,326.09,2.22,0.78,0.0302
2024-07-31 14:07:22.323296,Holiday Sale,Set 2,Feed,55-64,Female,Texas,6244,3609,102,124.3,UID305,3,213.33,1.72,1.22,0.0163
2024-07-05 14:07:22.323296,Product Launch,Set 3,Stories,45-54,Female,New York,4864,3976,82,56.63,UID377,2,190.79,3.37,0.69,0.0169
2024-08-10 14:07:22.323296,Brand Awareness,Set 1,Marketplace,45-54,Female,California,3785,2777,71,72.55,UID159,2,184.2,2.54,1.02,0.0188
2024-08-28 14:07:22.323296,Brand Awareness,Set 3,Video Feeds,55-64,Female,Florida,4121,3046,165,225.97,UID336,7,771.33,3.41,1.37,0.04
2024-07-26 14:07:22.323296,Brand Awareness,Set 3,Marketplace,18-24,Male,Florida,4582,4365,110,66.07,UID95,2,156.28,2.37,0.6,0.024
2024-08-01 14:07:22.323296,Holiday Sale,Set 2,Marketplace,45-54,Female,Texas,5095,3236,161,213.03,UID134,6,279.61,1.31,1.32,0.0316
2024-07-11 14:07:22.323296,Holiday Sale,Set 1,Feed,45-54,Female,Illinois,8805,4938,242,278.41,UID261,9,447.8,1.61,1.15,0.0275
2024-08-25 14:07:22.323296,Product Launch,Set 3,Stories,25-34,Male,New York,2998,2471,208,140.67,UID483,6,489.95,3.48,0.68,0.0694
2024-07-17 14:07:22.323296,Brand Awareness,Set 2,Marketplace,25-34,Female,Texas,6551,5920,102,38.25,UID369,3,247.73,6.48,0.38,0.0156
2024-08-29 14:07:22.323296,Product Launch,Set 2,Feed,25-34,Female,Illinois,4411,3657,145,90.51,UID477,3,230.69,2.55,0.62,0.0329
2024-07-19 14:07:22.323296,Brand Awareness,Set 2,Marketplace,45-54,Female,Illinois,3921,3370,93,193.6,UID392,3,226.02,1.17,2.08,0.0237
2024-06-30 14:07:22.323296,Brand Awareness,Set 2,Stories,45-54,Female,Illinois,3058,2325,68,80.86,UID335,2,185.24,2.29,1.19,0.0222
2024-07-20 14:07:22.323296,Product Launch,Set 2,Marketplace,55-64,Male,Florida,5536,3844,198,356.9,UID291,8,627.11,1.76,1.8,0.0358
2024-08-19 14:07:22.323296,Brand Awareness,Set 3,Stories,55-64,Female,New York,3435,3414,120,333.0,UID252,5,343.59,1.03,2.78,0.0349
2024-08-29 14:07:22.323296,Product Launch,Set 3,Feed,18-24,Male,New York,3943,2665,321,285.54,UID294,7,415.31,1.45,0.89,0.0814
2024-08-09 14:07:22.323296,Holiday Sale,Set 1,Feed,45-54,Female,Texas,7378,4855,129,169.73,UID124,4,246.29,1.45,1.32,0.0175
2024-07-01 14:07:22.323296,Product Launch,Set 3,Stories,55-64,Female,California,6889,5391,186,177.59,UID497,7,622.63,3.51,0.95,0.027
2024-07-04 14:07:22.323296,Product Launch,Set 1,Stories,55-64,Female,Texas,2923,2028,81,154.47,UID52,2,167.22,1.08,1.91,0.0277
2024-09-07 14:07:22.323296,Brand Awareness,Set 1,Feed,25-34,Female,New York,5238,4518,166,152.53,UID73,4,271.41,1.78,0.92,0.0317
2024-09-06 14:07:22.323296,Product Launch,Set 1,Stories,25-34,Male,Florida,7045,5179,153,94.19,UID82,3,266.1,2.83,0.62,0.0217
2024-06-22 14:07:22.323296,Holiday Sale,Set 3,Stories,25-34,Male,Texas,2028,1216,75,116.5,UID137,1,90.57,0.78,1.55,0.037
2024-07-02 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,35-44,Male,California,4095,1973,153,113.09,UID189,4,203.17,1.8,0.74,0.0374
2024-07-02 14:07:22.323296,Holiday Sale,Set 1,Marketplace,55-64,Male,Texas,8752,5718,195,139.87,UID112,7,358.67,2.56,0.72,0.0223
2024-07-02 14:07:22.323296,Holiday Sale,Set 2,Feed,25-34,Male,Illinois,6838,4007,361,285.67,UID381,10,708.11,2.48,0.79,0.0528
2024-06-16 14:07:22.323296,Product Launch,Set 1,Feed,25-34,Female,California,7875,6427,252,136.02,UID484,7,429.26,3.16,0.54,0.032
2024-08-29 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,45-54,Male,Illinois,5601,3321,125,63.54,UID137,4,305.37,4.81,0.51,0.0223
2024-08-25 14:07:22.323296,Product Launch,Set 1,Stories,25-34,Male,Florida,3852,2662,248,190.34,UID392,7,400.79,2.11,0.77,0.0644
2024-08-04 14:07:22.323296,Product Launch,Set 3,Stories,45-54,Female,New York,7250,5257,188,110.18,UID55,6,336.79,3.06,0.59,0.0259
2024-06-24 14:07:22.323296,Brand Awareness,Set 2,Stories,18-24,Male,Texas,2746,2605,202,139.79,UID4,5,451.74,3.23,0.69,0.0736
2024-08-28 14:07:22.323296,Product Launch,Set 3,Feed,25-34,Female,Texas,4359,2898,64,31.95,UID159,1,78.68,2.46,0.5,0.0147
2024-06-28 14:07:22.323296,Product Launch,Set 2,Video Feeds,45-54,Male,Illinois,5806,4775,146,226.46,UID110,4,327.91,1.45,1.55,0.0251
2024-07-10 14:07:22.323296,Brand Awareness,Set 3,Marketplace,25-34,Female,Illinois,4987,4188,190,372.73,UID423,5,461.37,1.24,1.96,0.0381
2024-07-31 14:07:22.323296,Holiday Sale,Set 1,Video Feeds,18-24,Male,New York,4204,2766,159,51.05,UID11,3,163.08,3.19,0.32,0.0378
2024-07-14 14:07:22.323296,Holiday Sale,Set 1,Feed,25-34,Female,Texas,6586,4233,124,194.7,UID291,3,151.56,0.78,1.57,0.0188
2024-08-09 14:07:22.323296,Product Launch,Set 3,Marketplace,45-54,Male,New York,4275,3314,166,235.86,UID108,6,486.79,2.06,1.42,0.0388
2024-07-26 14:07:22.323296,Brand Awareness,Set 2,Stories,18-24,Male,Illinois,1475,1239,62,57.31,UID421,1,92.71,1.62,0.92,0.042
2024-06-18 14:07:22.323296,Product Launch,Set 2,Video Feeds,18-24,Female,Illinois,3969,2898,223,84.29,UID245,4,362.6,4.3,0.38,0.0562
2024-06-25 14:07:22.323296,Product Launch,Set 2,Video Feeds,18-24,Female,California,1857,1472,91,33.19,UID40,1,89.73,2.7,0.36,0.049
2024-07-08 14:07:22.323296,Holiday Sale,Set 3,Feed,35-44,Female,Illinois,4515,2598,90,66.04,UID404,3,155.94,2.36,0.73,0.0199
2024-09-08 14:07:22.323296,Brand Awareness,Set 3,Video Feeds,45-54,Male,Illinois,2197,2024,64,75.59,UID335,2,149.69,1.98,1.18,0.0291
2024-08-20 14:07:22.323296,Product Launch,Set 3,Marketplace,35-44,Female,New York,6192,4835,248,204.42,UID497,7,508.97,2.49,0.82,0.0401
2024-07-21 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,18-24,Male,California,6675,3799,471,267.15,UID110,10,547.54,2.05,0.57,0.0706
2024-06-16 14:07:22.323296,Product Launch,Set 2,Feed,35-44,Female,California,7568,5429,217,151.79,UID28,7,538.88,3.55,0.7,0.0287
2024-06-26 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,25-34,Male,Texas,3925,1987,273,166.41,UID95,7,420.63,2.53,0.61,0.0696
2024-07-05 14:07:22.323296,Brand Awareness,Set 3,Marketplace,35-44,Female,Florida,4184,3235,189,209.63,UID160,6,541.62,2.58,1.11,0.0452
2024-08-22 14:07:22.323296,Product Launch,Set 3,Marketplace,55-64,Female,Texas,2814,2278,64,215.35,UID288,2,177.21,0.82,3.36,0.0227
2024-08-24 14:07:22.323296,Brand Awareness,Set 2,Feed,18-24,Male,Texas,3052,2905,229,77.04,UID26,5,582.4,7.56,0.34,0.075
2024-08-17 14:07:22.323296,Holiday Sale,Set 2,Stories,18-24,Female,Texas,5100,2390,241,155.71,UID65,6,276.83,1.78,0.65,0.0473
2024-08-21 14:07:22.323296,Brand Awareness,Set 1,Feed,45-54,Female,California,6960,6687,326,422.01,UID419,12,1046.28,2.48,1.29,0.0468
2024-07-27 14:07:22.323296,Brand Awareness,Set 3,Stories,25-34,Female,New York,4545,3215,251,253.06,UID434,7,513.69,2.03,1.01,0.0552
2024-08-07 14:07:22.323296,Brand Awareness,Set 1,Marketplace,45-54,Male,Illinois,3808,3189,116,169.05,UID254,4,331.02,1.96,1.46,0.0305
2024-08-15 14:07:22.323296,Product Launch,Set 2,Video Feeds,35-44,Male,California,6741,4046,341,698.49,UID459,10,699.7,1.0,2.05,0.0506
2024-09-08 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,55-64,Female,Illinois,7513,4962,191,208.96,UID462,7,497.92,2.38,1.09,0.0254
2024-08-26 14:07:22.323296,Brand Awareness,Set 3,Marketplace,55-64,Female,Illinois,3915,3882,231,182.05,UID302,9,611.02,3.36,0.79,0.059
2024-09-12 14:07:22.323296,Product Launch,Set 1,Feed,55-64,Male,Florida,6014,4426,161,222.83,UID60,6,508.56,2.28,1.38,0.0268
2024-06-26 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,55-64,Male,Texas,5311,2895,233,208.26,UID455,9,587.67,2.82,0.89,0.0439
2024-06-15 14:07:22.323296,Holiday Sale,Set 1,Feed,25-34,Female,Florida,12717,7236,553,288.36,UID172,16,1329.14,4.61,0.52,0.0435
2024-08-25 14:07:22.323296,Holiday Sale,Set 1,Video Feeds,35-44,Male,Texas,8745,5414,373,298.52,UID146,12,936.36,3.14,0.8,0.0427
2024-07-17 14:07:22.323296,Brand Awareness,Set 1,Stories,55-64,Female,California,3390,2599,77,104.93,UID366,3,234.09,2.23,1.36,0.0227
2024-08-17 14:07:22.323296,Brand Awareness,Set 1,Video Feeds,18-24,Female,Illinois,5138,4277,346,263.9,UID371,8,868.42,3.29,0.76,0.0673
2024-08-21 14:07:22.323296,Brand Awareness,Set 1,Stories,35-44,Male,Florida,4823,4442,114,121.92,UID426,3,255.4,2.09,1.07,0.0236
2024-06-28 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,25-34,Male,California,6636,3621,271,113.13,UID80,7,472.83,4.18,0.42,0.0408
2024-06-28 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,55-64,Male,California,7158,3386,168,214.47,UID393,6,463.21,2.16,1.28,0.0235
2024-06-23 14:07:22.323296,Brand Awareness,Set 1,Video Feeds,25-34,Male,Texas,2781,2370,91,86.12,UID24,2,157.25,1.83,0.95,0.0327
2024-08-26 14:07:22.323296,Brand Awareness,Set 3,Video Feeds,55-64,Male,Illinois,3347,3083,56,88.93,UID171,2,181.68,2.04,1.59,0.0167
2024-07-10 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,18-24,Male,Texas,9732,6442,309,121.67,UID303,7,303.94,2.5,0.39,0.0318
2024-08-02 14:07:22.323296,Holiday Sale,Set 1,Feed,35-44,Male,Texas,6459,3062,402,190.44,UID426,12,826.55,4.34,0.47,0.0622
2024-07-01 14:07:22.323296,Product Launch,Set 3,Stories,18-24,Male,California,3538,2541,116,69.81,UID27,2,243.08,3.48,0.6,0.0328
2024-08-21 14:07:22.323296,Product Launch,Set 3,Stories,55-64,Female,Texas,4546,3163,60,72.16,UID197,2,197.2,2.73,1.2,0.0132
2024-08-13 14:07:22.323296,Brand Awareness,Set 2,Video Feeds,45-54,Female,New York,3198,2471,56,60.24,UID52,2,221.04,3.67,1.08,0.0175
2024-06-17 14:07:22.323296,Holiday Sale,Set 2,Feed,35-44,Male,Illinois,8019,4765,332,254.59,UID65,10,749.9,2.95,0.77,0.0414
2024-07-09 14:07:22.323296,Holiday Sale,Set 2,Feed,25-34,Female,Texas,4737,2365,129,36.35,UID398,3,158.8,4.37,0.28,0.0272
2024-07-05 14:07:22.323296,Product Launch,Set 2,Marketplace,55-64,Female,Texas,4879,3192,152,405.65,UID137,6,474.32,1.17,2.67,0.0312
2024-06-26 14:07:22.323296,Holiday Sale,Set 1,Marketplace,18-24,Female,Florida,4509,2809,130,53.73,UID225,3,194.82,3.63,0.41,0.0288
2024-08-07 14:07:22.323296,Brand Awareness,Set 3,Feed,45-54,Female,Illinois,7311,6127,190,149.72,UID226,7,507.53,3.39,0.79,0.026
2024-06-15 14:07:22.323296,Product Launch,Set 3,Marketplace,55-64,Female,Illinois,5931,4933,103,195.91,UID205,3,335.01,1.71,1.9,0.0174
2024-06-15 14:07:22.323296,Holiday Sale,Set 2,Stories,25-34,Male,Texas,7326,3985,132,55.27,UID378,3,164.86,2.98,0.42,0.018
2024-07-29 14:07:22.323296,Holiday Sale,Set 3,Feed,18-24,Male,New York,7569,4233,372,224.42,UID338,9,520.49,2.32,0.6,0.0491
2024-07-30 14:07:22.323296,Brand Awareness,Set 3,Marketplace,35-44,Male,Florida,3408,2692,122,85.41,UID291,4,344.18,4.03,0.7,0.0358
2024-08-01 14:07:22.323296,Holiday Sale,Set 3,Feed,45-54,Male,New York,9421,4841,308,227.58,UID76,10,633.94,2.79,0.74,0.0327
2024-06-21 14:07:22.323296,Product Launch,Set 2,Marketplace,55-64,Male,Texas,4677,3807,105,112.14,UID115,3,401.84,3.58,1.07,0.0225
2024-06-24 14:07:22.323296,Product Launch,Set 3,Feed,55-64,Male,Illinois,7990,6157,288,254.81,UID443,12,809.02,3.17,0.88,0.036
2024-06-29 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,55-64,Female,Illinois,5268,2809,147,200.09,UID214,6,267.25,1.34,1.36,0.0279
2024-07-24 14:07:22.323296,Holiday Sale,Set 3,Stories,55-64,Male,New York,7609,4616,212,357.82,UID87,9,554.72,1.55,1.69,0.0279
2024-06-25 14:07:22.323296,Holiday Sale,Set 1,Marketplace,18-24,Female,California,6375,4206,277,113.39,UID480,6,308.22,2.72,0.41,0.0435
2024-08-09 14:07:22.323296,Holiday Sale,Set 1,Video Feeds,35-44,Male,Texas,6601,3178,330,258.15,UID419,10,587.09,2.27,0.78,0.05
2024-07-30 14:07:22.323296,Product Launch,Set 3,Feed,25-34,Female,Illinois,1792,1164,46,23.0,UID473,1,99.3,4.32,0.5,0.0257
2024-07-29 14:07:22.323296,Brand Awareness,Set 3,Video Feeds,45-54,Female,California,2525,1919,26,34.43,UID470,0,0.0,0.0,1.32,0.0103
2024-09-09 14:07:22.323296,Product Launch,Set 3,Stories,55-64,Male,Illinois,7516,6019,274,454.13,UID448,10,760.85,1.68,1.66,0.0365
2024-06-27 14:07:22.323296,Holiday Sale,Set 3,Marketplace,55-64,Male,Illinois,3099,1557,113,112.98,UID467,4,283.18,2.51,1.0,0.0365
2024-07-11 14:07:22.323296,Holiday Sale,Set 3,Marketplace,35-44,Male,California,8007,4229,233,137.92,UID333,7,391.62,2.84,0.59,0.0291
2024-09-03 14:07:22.323296,Product Launch,Set 3,Feed,35-44,Male,New York,9478,6818,372,311.42,UID233,12,894.06,2.87,0.84,0.0392
2024-08-03 14:07:22.323296,Product Launch,Set 1,Stories,18-24,Female,Texas,5794,4280,318,182.27,UID26,7,566.32,3.11,0.57,0.0549
2024-08-14 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,18-24,Male,California,16177,6776,1059,361.21,UID290,24,970.81,2.69,0.34,0.0655
2024-06-27 14:07:22.323296,Product Launch,Set 3,Feed,18-24,Male,California,6045,4142,259,138.64,UID178,6,461.77,3.33,0.54,0.0428
2024-06-26 14:07:22.323296,Holiday Sale,Set 3,Marketplace,45-54,Female,Illinois,6591,3780,201,180.04,UID107,7,476.76,2.65,0.9,0.0305
2024-07-13 14:07:22.323296,Product Launch,Set 3,Video Feeds,18-24,Female,California,5473,4513,404,173.89,UID87,9,639.21,3.68,0.43,0.0738
2024-09-07 14:07:22.323296,Holiday Sale,Set 2,Feed,55-64,Male,Texas,5599,2946,113,35.41,UID55,4,203.93,5.76,0.31,0.0202
2024-09-06 14:07:22.323296,Product Launch,Set 3,Video Feeds,18-24,Male,New York,4424,2855,277,295.56,UID324,6,372.33,1.26,1.07,0.0626
2024-07-04 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,45-54,Female,New York,4818,2933,171,139.71,UID157,6,288.11,2.06,0.82,0.0355
2024-07-15 14:07:22.323296,Brand Awareness,Set 2,Feed,18-24,Male,New York,6951,4315,382,223.33,UID300,9,650.92,2.91,0.58,0.055
2024-06-22 14:07:22.323296,Brand Awareness,Set 3,Video Feeds,18-24,Female,Texas,7300,6018,301,186.01,UID116,7,447.72,2.41,0.62,0.0412
2024-07-08 14:07:22.323296,Product Launch,Set 2,Video Feeds,55-64,Female,Illinois,7363,4687,220,221.41,UID108,8,695.95,3.14,1.01,0.0299
2024-08-28 14:07:22.323296,Brand Awareness,Set 2,Stories,55-64,Male,Texas,4307,4021,70,65.94,UID316,3,239.19,3.63,0.94,0.0163
2024-07-23 14:07:22.323296,Holiday Sale,Set 3,Stories,55-64,Female,California,7381,4434,137,209.79,UID127,4,316.59,1.51,1.53,0.0186
2024-07-17 14:07:22.323296,Product Launch,Set 1,Marketplace,18-24,Male,Florida,4645,3727,350,199.62,UID288,8,585.68,2.93,0.57,0.0753
2024-07-26 14:07:22.323296,Product Launch,Set 1,Stories,55-64,Male,Florida,7358,5845,317,204.31,UID148,13,995.11,4.87,0.64,0.0431
2024-06-29 14:07:22.323296,Holiday Sale,Set 3,Feed,35-44,Male,Florida,2326,1181,81,79.93,UID353,1,97.76,1.22,0.99,0.0348
2024-08-21 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,25-34,Female,New York,10342,6548,171,179.51,UID358,4,326.44,1.82,1.05,0.0165
2024-08-18 14:07:22.323296,Holiday Sale,Set 2,Marketplace,25-34,Male,Texas,4773,2394,144,89.24,UID328,3,162.9,1.83,0.62,0.0302
2024-07-16 14:07:22.323296,Product Launch,Set 2,Stories,55-64,Male,Texas,4107,3283,90,197.56,UID61,3,242.26,1.23,2.2,0.0219
2024-06-25 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,45-54,Female,New York,3247,2015,74,69.75,UID179,1,97.67,1.4,0.94,0.0228
2024-07-21 14:07:22.323296,Brand Awareness,Set 1,Feed,55-64,Male,California,4232,3685,58,78.94,UID73,2,132.39,1.68,1.36,0.0137
2024-07-03 14:07:22.323296,Product Launch,Set 2,Video Feeds,55-64,Male,Florida,3573,2658,168,192.78,UID160,7,385.42,2.0,1.15,0.047
2024-08-04 14:07:22.323296,Holiday Sale,Set 2,Feed,18-24,Male,Florida,8617,4200,320,217.34,UID23,7,477.52,2.2,0.68,0.0371
2024-07-18 14:07:22.323296,Product Launch,Set 3,Video Feeds,45-54,Female,New York,6014,3568,198,318.55,UID228,7,600.23,1.88,1.61,0.0329
2024-08-24 14:07:22.323296,Brand Awareness,Set 1,Marketplace,55-64,Female,Florida,2959,2364,68,120.67,UID222,2,190.01,1.57,1.77,0.023
2024-08-13 14:07:22.323296,Brand Awareness,Set 1,Marketplace,35-44,Male,Illinois,2684,2540,55,68.82,UID494,1,88.53,1.29,1.25,0.0205
2024-09-06 14:07:22.323296,Holiday Sale,Set 3,Stories,25-34,Male,Texas,4555,2550,265,182.1,UID318,7,409.62,2.25,0.69,0.0582
2024-08-06 14:07:22.323296,Product Launch,Set 1,Stories,35-44,Male,Florida,3097,1979,79,97.96,UID256,2,227.63,2.32,1.24,0.0255
2024-06-26 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,35-44,Female,Florida,5370,3402,118,68.2,UID277,3,231.53,3.39,0.58,0.022
2024-08-15 14:07:22.323296,Product Launch,Set 2,Video Feeds,35-44,Male,Illinois,3285,2104,81,41.57,UID309,2,183.23,4.41,0.51,0.0247
2024-08-19 14:07:22.323296,Holiday Sale,Set 3,Stories,45-54,Male,California,8628,5433,394,354.34,UID435,13,717.7,2.03,0.9,0.0457
2024-09-08 14:07:22.323296,Holiday Sale,Set 2,Stories,45-54,Male,California,4878,2718,120,66.71,UID110,4,224.59,3.37,0.56,0.0246
2024-08-01 14:07:22.323296,Product Launch,Set 3,Video Feeds,45-54,Female,Illinois,5835,4080,88,50.64,UID139,2,192.94,3.81,0.58,0.0151
2024-07-24 14:07:22.323296,Product Launch,Set 2,Video Feeds,25-34,Female,California,5850,3811,417,664.96,UID226,12,715.73,1.08,1.59,0.0713
2024-07-08 14:07:22.323296,Brand Awareness,Set 2,Video Feeds,18-24,Female,New York,1220,1183,79,17.47,UID66,1,71.92,4.12,0.22,0.0648
2024-08-03 14:07:22.323296,Brand Awareness,Set 3,Marketplace,55-64,Female,Illinois,5070,3684,178,327.34,UID87,7,579.15,1.77,1.84,0.0351
2024-08-21 14:07:22.323296,Product Launch,Set 2,Feed,55-64,Female,Texas,1726,1069,74,57.9,UID436,2,195.22,3.37,0.78,0.0429
2024-09-10 14:07:22.323296,Brand Awareness,Set 1,Feed,18-24,Male,Texas,2749,2448,104,63.11,UID377,2,224.06,3.55,0.61,0.0378
2024-07-27 14:07:22.323296,Brand Awareness,Set 3,Stories,55-64,Male,Texas,5001,4776,218,370.85,UID361,9,843.86,2.28,1.7,0.0436
2024-07-01 14:07:22.323296,Product Launch,Set 1,Marketplace,35-44,Male,Florida,5024,3050,248,583.57,UID346,7,584.7,1.0,2.35,0.0494
2024-09-05 14:07:22.323296,Product Launch,Set 2,Video Feeds,25-34,Male,Illinois,4186,3210,241,266.07,UID426,7,628.44,2.36,1.1,0.0576
2024-08-08 14:07:22.323296,Product Launch,Set 2,Video Feeds,55-64,Female,Illinois,1590,1222,33,26.6,UID10,1,103.34,3.88,0.81,0.0208
2024-07-18 14:07:22.323296,Holiday Sale,Set 2,Stories,25-34,Female,California,8169,4762,340,222.91,UID480,9,490.33,2.2,0.66,0.0416
2024-08-23 14:07:22.323296,Product Launch,Set 3,Stories,18-24,Male,Illinois,5581,3934,232,144.35,UID317,4,412.27,2.86,0.62,0.0416
2024-08-13 14:07:22.323296,Product Launch,Set 2,Marketplace,55-64,Female,Illinois,3258,2162,48,25.31,UID307,1,105.48,4.17,0.53,0.0147
2024-08-04 14:07:22.323296,Product Launch,Set 1,Feed,25-34,Male,California,3068,2059,127,108.48,UID448,3,283.98,2.62,0.85,0.0414
2024-08-30 14:07:22.323296,Brand Awareness,Set 1,Feed,35-44,Female,Illinois,5540,4998,156,132.94,UID23,5,460.24,3.46,0.85,0.0282
2024-08-26 14:07:22.323296,Product Launch,Set 3,Video Feeds,35-44,Male,Illinois,5340,3202,197,245.97,UID1,6,494.96,2.01,1.25,0.0369
2024-07-19 14:07:22.323296,Brand Awareness,Set 1,Stories,18-24,Male,New York,1959,1715,79,58.34,UID398,1,97.43,1.67,0.74,0.0403
2024-07-18 14:07:22.323296,Holiday Sale,Set 3,Marketplace,45-54,Male,California,4356,2275,236,365.7,UID94,7,310.27,0.85,1.55,0.0542
2024-06-30 14:07:22.323296,Product Launch,Set 3,Video Feeds,55-64,Female,New York,8322,5825,265,363.85,UID482,10,867.89,2.39,1.37,0.0318
2024-09-04 14:07:22.323296,Product Launch,Set 2,Feed,35-44,Male,Florida,6603,4774,230,233.07,UID361,7,646.12,2.77,1.01,0.0348
2024-07-02 14:07:22.323296,Brand Awareness,Set 1,Feed,35-44,Male,California,4000,3862,174,425.79,UID488,5,524.15,1.23,2.45,0.0435
2024-07-22 14:07:22.323296,Holiday Sale,Set 1,Marketplace,18-24,Female,Illinois,6049,3523,133,83.44,UID188,3,191.31,2.29,0.63,0.022
2024-07-27 14:07:22.323296,Product Launch,Set 1,Video Feeds,35-44,Male,Illinois,883,565,34,61.76,UID43,0,0.0,0.0,1.82,0.0385
2024-07-16 14:07:22.323296,Holiday Sale,Set 2,Marketplace,55-64,Female,New York,8938,4313,296,180.04,UID21,12,672.37,3.73,0.61,0.0331
2024-06-21 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,18-24,Female,New York,4983,2950,144,35.7,UID33,3,176.56,4.95,0.25,0.0289
2024-09-09 14:07:22.323296,Product Launch,Set 1,Feed,25-34,Female,Florida,3343,2405,91,83.14,UID467,2,201.82,2.43,0.91,0.0272
2024-09-09 14:07:22.323296,Holiday Sale,Set 1,Stories,18-24,Male,Florida,7686,4619,591,531.8,UID469,13,861.92,1.62,0.9,0.0769
2024-07-30 14:07:22.323296,Holiday Sale,Set 1,Stories,55-64,Female,Illinois,4582,2559,168,101.14,UID59,6,414.22,4.1,0.6,0.0367
2024-08-14 14:07:22.323296,Product Launch,Set 1,Feed,55-64,Female,Texas,2276,1198,72,48.65,UID168,1,82.21,1.69,0.68,0.0316
