date,campaign_name,ad_group_name,device_type,geo_targeting,age,gender,impressions,clicks,cost,user_id,conversions,conversion_value,conv_rate,cost_per_conv
2024-06-24 14:07:22.323296,Product Launch,Group A,Desktop,California,35-44,Male,4359,102,244.97,UID260,1,123.52,0.0098,244.97
2024-07-28 14:07:22.323296,Product Launch,Group C,Tablet,Illinois,25-34,Male,4579,140,121.97,UID423,2,190.45,0.0143,60.98
2024-06-25 14:07:22.323296,Holiday Sale,Group B,Tablet,Illinois,45-54,Female,11224,288,311.18,UID50,6,329.71,0.0208,51.86
2024-09-01 14:07:22.323296,Product Launch,Group B,Mobile,New York,55-64,Male,7836,347,1520.15,UID92,9,853.75,0.0259,168.91
2024-09-02 14:07:22.323296,Holiday Sale,Group B,Mobile,New York,55-64,Male,4053,113,384.95,UID443,3,207.46,0.0265,128.32
2024-09-03 14:07:22.323296,Product Launch,Group B,Desktop,New York,45-54,Female,6208,96,145.81,UID139,2,170.02,0.0208,72.9
2024-09-12 14:07:22.323296,Holiday Sale,Group C,Desktop,Illinois,25-34,Female,7299,306,413.7,UID299,6,297.15,0.0196,68.95
2024-06-16 14:07:22.323296,Holiday Sale,Group A,Tablet,New York,18-24,Female,8448,759,894.06,UID165,12,874.95,0.0158,74.5
2024-08-03 14:07:22.323296,Brand Awareness,Group B,Desktop,New York,35-44,Male,3792,196,787.44,UID260,4,332.01,0.0204,196.86
2024-06-26 14:07:22.323296,Holiday Sale,Group C,Desktop,Texas,55-64,Male,10792,303,515.19,UID170,7,511.44,0.0231,73.6
2024-09-12 14:07:22.323296,Holiday Sale,Group B,Tablet,New York,35-44,Female,7495,299,181.63,UID76,6,429.88,0.0201,30.27
2024-07-07 14:07:22.323296,Product Launch,Group A,Desktop,California,18-24,Male,6895,679,558.05,UID119,10,1074.27,0.0147,55.8
2024-07-02 14:07:22.323296,Holiday Sale,Group B,Desktop,Illinois,55-64,Male,5145,142,977.39,UID94,3,284.76,0.0211,325.8
2024-08-15 14:07:22.323296,Brand Awareness,Group C,Tablet,Florida,35-44,Male,3531,78,69.55,UID83,1,104.74,0.0128,69.55
2024-08-15 14:07:22.323296,Product Launch,Group A,Tablet,Texas,18-24,Female,12378,591,632.19,UID159,9,731.94,0.0152,70.24
2024-07-22 14:07:22.323296,Product Launch,Group C,Mobile,Illinois,35-44,Female,10320,295,1306.83,UID108,6,665.84,0.0203,217.8
2024-08-20 14:07:22.323296,Brand Awareness,Group A,Tablet,Illinois,25-34,Male,4860,395,397.22,UID273,7,846.73,0.0177,56.75
2024-07-22 14:07:22.323296,Product Launch,Group A,Mobile,California,18-24,Male,9679,547,145.79,UID493,8,723.57,0.0146,18.22
2024-08-20 14:07:22.323296,Product Launch,Group A,Desktop,New York,35-44,Male,8910,348,135.86,UID228,7,628.38,0.0201,19.41
2024-08-14 14:07:22.323296,Product Launch,Group B,Tablet,California,25-34,Male,6747,118,66.55,UID330,1,100.54,0.0085,66.55
2024-06-15 14:07:22.323296,Product Launch,Group C,Tablet,New York,25-34,Female,4260,343,177.68,UID423,6,516.22,0.0175,29.61
2024-07-29 14:07:22.323296,Brand Awareness,Group C,Tablet,New York,18-24,Female,6337,255,536.65,UID295,4,391.85,0.0157,134.16
2024-07-12 14:07:22.323296,Brand Awareness,Group C,Desktop,Illinois,45-54,Male,5520,86,185.24,UID130,2,161.01,0.0233,92.62
2024-07-05 14:07:22.323296,Product Launch,Group A,Mobile,New York,55-64,Male,5034,219,135.22,UID120,6,500.89,0.0274,22.54
2024-06-27 14:07:22.323296,Product Launch,Group B,Desktop,Texas,18-24,Female,7730,550,258.74,UID210,8,946.02,0.0145,32.34
2024-07-11 14:07:22.323296,Brand Awareness,Group A,Desktop,Texas,25-34,Male,2115,100,278.86,UID370,2,167.36,0.02,139.43
2024-06-21 14:07:22.323296,Brand Awareness,Group C,Tablet,Texas,25-34,Female,5230,198,327.11,UID181,3,283.72,0.0152,109.04
2024-07-06 14:07:22.323296,Brand Awareness,Group B,Mobile,Illinois,18-24,Male,2522,374,958.42,UID305,6,492.97,0.016,159.74
2024-08-27 14:07:22.323296,Product Launch,Group B,Desktop,California,45-54,Female,3105,136,372.71,UID236,2,246.29,0.0147,186.36
2024-08-06 14:07:22.323296,Product Launch,Group B,Tablet,Florida,55-64,Male,4303,76,76.79,UID21,1,116.59,0.0132,76.79
2024-09-01 14:07:22.323296,Holiday Sale,Group C,Desktop,New York,35-44,Male,8589,478,827.63,UID268,10,521.04,0.0209,82.76
2024-09-01 14:07:22.323296,Brand Awareness,Group B,Desktop,Florida,18-24,Female,3649,310,514.77,UID309,5,298.15,0.0161,102.95
2024-06-18 14:07:22.323296,Product Launch,Group B,Tablet,California,55-64,Female,3075,165,110.81,UID377,3,351.94,0.0182,36.94
2024-07-07 14:07:22.323296,Brand Awareness,Group A,Tablet,California,55-64,Male,5954,106,115.39,UID16,3,219.64,0.0283,38.46
2024-08-23 14:07:22.323296,Product Launch,Group A,Mobile,Illinois,25-34,Male,9582,376,1593.51,UID160,7,699.39,0.0186,227.64
2024-09-10 14:07:22.323296,Brand Awareness,Group B,Desktop,Texas,35-44,Female,6277,180,188.66,UID326,4,348.95,0.0222,47.16
2024-09-06 14:07:22.323296,Product Launch,Group B,Tablet,Texas,18-24,Female,10323,548,702.06,UID299,8,797.3,0.0146,87.76
2024-09-06 14:07:22.323296,Holiday Sale,Group A,Tablet,California,25-34,Male,11727,727,661.35,UID142,13,979.94,0.0179,50.87
2024-08-29 14:07:22.323296,Holiday Sale,Group A,Mobile,Illinois,25-34,Male,6037,159,174.3,UID86,3,178.54,0.0189,58.1
2024-07-17 14:07:22.323296,Brand Awareness,Group A,Mobile,Illinois,45-54,Female,6264,244,431.3,UID278,6,494.52,0.0246,71.88
2024-07-12 14:07:22.323296,Product Launch,Group C,Tablet,New York,55-64,Female,5779,316,916.26,UID305,8,780.61,0.0253,114.53
2024-06-22 14:07:22.323296,Product Launch,Group C,Mobile,Texas,18-24,Female,8548,915,1525.62,UID43,14,1033.78,0.0153,108.97
2024-06-15 14:07:22.323296,Brand Awareness,Group A,Tablet,California,18-24,Female,4816,181,240.26,UID49,3,366.54,0.0166,80.09
2024-07-21 14:07:22.323296,Product Launch,Group B,Desktop,Florida,18-24,Female,4106,228,151.73,UID159,3,250.06,0.0132,50.58
2024-08-16 14:07:22.323296,Brand Awareness,Group A,Mobile,Texas,25-34,Male,7746,168,189.62,UID497,3,321.02,0.0179,63.21
2024-07-06 14:07:22.323296,Product Launch,Group C,Desktop,New York,45-54,Male,6762,230,163.72,UID213,4,368.78,0.0174,40.93
2024-08-23 14:07:22.323296,Brand Awareness,Group B,Desktop,Illinois,35-44,Female,3672,274,387.05,UID27,6,600.69,0.0219,64.51
2024-07-05 14:07:22.323296,Product Launch,Group C,Desktop,California,25-34,Male,4802,366,189.15,UID328,7,515.94,0.0191,27.02
2024-07-19 14:07:22.323296,Brand Awareness,Group B,Tablet,Texas,35-44,Male,3660,29,55.22,UID13,0,0.0,0.0,0.0
2024-09-01 14:07:22.323296,Product Launch,Group C,Desktop,Florida,45-54,Female,3595,76,139.14,UID1,1,48.76,0.0132,139.14
2024-06-19 14:07:22.323296,Holiday Sale,Group B,Desktop,New York,55-64,Male,6066,285,674.45,UID383,7,418.71,0.0246,96.35
2024-08-13 14:07:22.323296,Product Launch,Group B,Desktop,New York,18-24,Male,6895,391,221.68,UID122,6,441.24,0.0153,36.95
2024-07-30 14:07:22.323296,Brand Awareness,Group B,Tablet,Texas,35-44,Male,5128,155,145.86,UID312,3,295.69,0.0194,48.62
2024-08-03 14:07:22.323296,Holiday Sale,Group B,Desktop,Florida,25-34,Female,6184,501,1073.8,UID69,9,755.18,0.018,119.31
2024-08-01 14:07:22.323296,Product Launch,Group C,Desktop,New York,35-44,Female,9589,616,432.03,UID304,13,946.5,0.0211,33.23
2024-06-20 14:07:22.323296,Holiday Sale,Group C,Mobile,California,55-64,Male,1467,44,175.69,UID232,0,0.0,0.0,0.0
2024-09-11 14:07:22.323296,Product Launch,Group B,Tablet,New York,18-24,Male,6734,400,263.68,UID187,6,413.86,0.015,43.95
2024-08-09 14:07:22.323296,Holiday Sale,Group B,Desktop,Florida,35-44,Male,7071,214,150.79,UID431,4,233.51,0.0187,37.7
2024-08-12 14:07:22.323296,Brand Awareness,Group C,Mobile,Illinois,55-64,Male,3059,163,534.96,UID481,4,249.26,0.0245,133.74
2024-07-13 14:07:22.323296,Product Launch,Group B,Tablet,Illinois,25-34,Male,6873,260,428.4,UID317,4,448.54,0.0154,107.1
2024-08-24 14:07:22.323296,Product Launch,Group B,Tablet,Texas,45-54,Male,5472,213,760.07,UID210,4,406.88,0.0188,190.02
2024-08-30 14:07:22.323296,Brand Awareness,Group B,Tablet,Florida,25-34,Female,7494,302,175.96,UID139,6,665.7,0.0199,29.33
2024-07-02 14:07:22.323296,Holiday Sale,Group A,Tablet,New York,18-24,Male,10104,760,828.53,UID197,12,821.06,0.0158,69.04
2024-06-16 14:07:22.323296,Brand Awareness,Group B,Tablet,New York,25-34,Male,8812,267,391.4,UID321,5,499.08,0.0187,78.28
2024-06-22 14:07:22.323296,Brand Awareness,Group A,Tablet,Illinois,25-34,Female,4033,103,90.18,UID252,2,211.38,0.0194,45.09
2024-08-28 14:07:22.323296,Holiday Sale,Group B,Desktop,Illinois,25-34,Male,11689,561,1437.21,UID469,10,1001.35,0.0178,143.72
2024-08-07 14:07:22.323296,Brand Awareness,Group C,Desktop,California,25-34,Male,2668,128,215.98,UID106,2,181.04,0.0156,107.99
2024-07-22 14:07:22.323296,Product Launch,Group A,Desktop,Illinois,18-24,Male,5733,486,491.32,UID326,7,846.52,0.0144,70.19
2024-08-01 14:07:22.323296,Product Launch,Group A,Desktop,California,55-64,Male,4882,219,491.27,UID338,6,585.24,0.0274,81.88
2024-07-11 14:07:22.323296,Product Launch,Group B,Mobile,New York,35-44,Female,7444,531,311.62,UID387,10,965.74,0.0188,31.16
2024-07-04 14:07:22.323296,Brand Awareness,Group B,Desktop,California,45-54,Male,6156,169,170.33,UID57,4,444.36,0.0237,42.58
2024-06-26 14:07:22.323296,Product Launch,Group A,Tablet,California,35-44,Female,3837,121,143.53,UID233,2,72.18,0.0165,71.76
2024-07-27 14:07:22.323296,Product Launch,Group C,Desktop,Texas,35-44,Male,7579,351,571.06,UID330,7,568.6,0.0199,81.58
2024-08-14 14:07:22.323296,Product Launch,Group C,Desktop,Illinois,45-54,Male,7629,504,995.82,UID467,12,606.17,0.0238,82.98
2024-07-15 14:07:22.323296,Product Launch,Group B,Tablet,California,18-24,Female,6058,220,99.26,UID4,3,284.5,0.0136,33.09
2024-08-14 14:07:22.323296,Product Launch,Group C,Desktop,New York,45-54,Male,8956,561,335.28,UID111,12,652.2,0.0214,27.94
2024-08-27 14:07:22.323296,Product Launch,Group C,Desktop,Florida,18-24,Female,2455,187,250.56,UID461,2,198.81,0.0107,125.28
2024-08-20 14:07:22.323296,Brand Awareness,Group B,Desktop,California,35-44,Female,6862,198,309.72,UID476,4,396.32,0.0202,77.43
2024-07-19 14:07:22.323296,Product Launch,Group C,Mobile,Illinois,18-24,Female,5865,441,176.21,UID361,7,443.22,0.0159,25.17
2024-06-29 14:07:22.323296,Product Launch,Group B,Desktop,Texas,55-64,Male,5918,228,258.72,UID494,6,443.98,0.0263,43.12
2024-06-30 14:07:22.323296,Holiday Sale,Group A,Tablet,New York,45-54,Male,7237,202,231.48,UID305,4,349.01,0.0198,57.87
2024-06-27 14:07:22.323296,Brand Awareness,Group B,Tablet,Texas,55-64,Male,8293,198,393.0,UID232,5,286.82,0.0253,78.6
2024-07-19 14:07:22.323296,Brand Awareness,Group A,Desktop,Florida,35-44,Male,8037,423,738.97,UID66,9,956.04,0.0213,82.11
2024-08-28 14:07:22.323296,Brand Awareness,Group A,Desktop,California,45-54,Female,7701,316,310.05,UID421,7,573.79,0.0222,44.29
2024-08-12 14:07:22.323296,Brand Awareness,Group C,Desktop,California,35-44,Male,4829,135,210.73,UID255,3,378.0,0.0222,70.24
2024-07-05 14:07:22.323296,Product Launch,Group C,Tablet,Illinois,55-64,Male,3321,204,587.67,UID162,4,431.59,0.0196,146.92
2024-08-07 14:07:22.323296,Product Launch,Group C,Tablet,California,35-44,Female,5961,189,62.31,UID89,3,208.81,0.0159,20.77
2024-08-28 14:07:22.323296,Holiday Sale,Group B,Mobile,New York,45-54,Female,8442,288,313.9,UID335,6,366.71,0.0208,52.32
2024-07-14 14:07:22.323296,Holiday Sale,Group C,Mobile,Florida,45-54,Male,9937,269,147.02,UID142,6,436.28,0.0223,24.5
2024-08-01 14:07:22.323296,Brand Awareness,Group A,Mobile,Texas,35-44,Female,5622,328,538.75,UID326,7,657.45,0.0213,76.96
2024-07-19 14:07:22.323296,Holiday Sale,Group C,Tablet,Florida,45-54,Female,4420,72,42.41,UID185,1,102.9,0.0139,42.41
2024-09-08 14:07:22.323296,Holiday Sale,Group C,Mobile,California,45-54,Female,5893,298,399.4,UID336,6,398.46,0.0201,66.57
2024-07-22 14:07:22.323296,Brand Awareness,Group B,Desktop,Texas,35-44,Female,3747,222,835.62,UID405,4,469.35,0.018,208.9
2024-07-15 14:07:22.323296,Brand Awareness,Group B,Desktop,Illinois,55-64,Female,9117,259,227.04,UID326,6,435.17,0.0232,37.84
2024-08-31 14:07:22.323296,Holiday Sale,Group A,Tablet,Florida,45-54,Male,9190,374,308.35,UID379,9,594.21,0.0241,34.26
2024-07-08 14:07:22.323296,Product Launch,Group B,Mobile,Texas,45-54,Male,7666,457,565.7,UID28,10,903.23,0.0219,56.57
2024-08-02 14:07:22.323296,Holiday Sale,Group C,Desktop,Texas,45-54,Male,8403,382,561.16,UID405,9,470.06,0.0236,62.35
2024-07-16 14:07:22.323296,Holiday Sale,Group B,Tablet,Texas,45-54,Male,1321,55,41.45,UID493,0,0.0,0.0,0.0
2024-08-08 14:07:22.323296,Product Launch,Group A,Mobile,New York,35-44,Male,1857,126,145.12,UID48,2,318.49,0.0159,72.56
2024-09-01 14:07:22.323296,Product Launch,Group C,Desktop,Florida,55-64,Male,5662,71,91.23,UID351,1,93.39,0.0141,91.23
2024-08-11 14:07:22.323296,Brand Awareness,Group A,Mobile,Texas,55-64,Male,5196,180,306.48,UID351,5,504.77,0.0278,61.3
2024-06-17 14:07:22.323296,Brand Awareness,Group B,Tablet,Florida,18-24,Female,7507,234,345.04,UID185,3,360.9,0.0128,115.01
2024-09-02 14:07:22.323296,Holiday Sale,Group B,Mobile,Texas,45-54,Male,7732,578,952.36,UID175,13,1081.7,0.0225,73.26
2024-08-22 14:07:22.323296,Product Launch,Group A,Tablet,Illinois,45-54,Male,3657,67,50.18,UID19,1,103.57,0.0149,50.18
2024-09-07 14:07:22.323296,Brand Awareness,Group C,Mobile,Illinois,18-24,Male,6324,247,363.8,UID131,4,321.91,0.0162,90.95
2024-06-24 14:07:22.323296,Holiday Sale,Group B,Desktop,Illinois,55-64,Female,7447,159,1099.08,UID364,4,409.09,0.0252,274.77
2024-09-05 14:07:22.323296,Product Launch,Group B,Tablet,California,25-34,Male,5034,318,860.32,UID270,6,568.12,0.0189,143.39
2024-07-09 14:07:22.323296,Holiday Sale,Group C,Tablet,Texas,25-34,Male,2655,108,78.35,UID496,1,104.41,0.0093,78.35
2024-08-21 14:07:22.323296,Brand Awareness,Group B,Tablet,California,55-64,Female,5170,247,567.2,UID310,7,598.8,0.0283,81.03
2024-08-14 14:07:22.323296,Brand Awareness,Group A,Mobile,Florida,45-54,Male,8185,256,315.66,UID237,6,404.64,0.0234,52.61
2024-07-13 14:07:22.323296,Product Launch,Group B,Mobile,California,25-34,Male,3608,163,256.68,UID109,2,127.42,0.0123,128.34
2024-07-03 14:07:22.323296,Holiday Sale,Group B,Desktop,Florida,35-44,Female,9732,588,529.54,UID319,12,918.54,0.0204,44.13
2024-07-27 14:07:22.323296,Product Launch,Group C,Tablet,Florida,35-44,Male,7570,461,561.16,UID475,9,957.56,0.0195,62.35
2024-08-19 14:07:22.323296,Brand Awareness,Group A,Tablet,Florida,18-24,Female,5097,133,115.54,UID349,2,209.19,0.015,57.77
2024-08-27 14:07:22.323296,Brand Awareness,Group C,Mobile,California,55-64,Male,5023,104,386.5,UID225,2,161.59,0.0192,193.25
2024-08-14 14:07:22.323296,Holiday Sale,Group B,Mobile,Texas,55-64,Male,15507,542,604.56,UID358,13,654.23,0.024,46.5
2024-07-27 14:07:22.323296,Holiday Sale,Group B,Desktop,California,25-34,Male,8602,882,1034.29,UID97,16,1273.22,0.0181,64.64
2024-07-09 14:07:22.323296,Holiday Sale,Group C,Desktop,Texas,45-54,Female,5392,195,449.62,UID227,4,255.41,0.0205,112.4
2024-07-04 14:07:22.323296,Product Launch,Group C,Mobile,Texas,55-64,Female,5524,387,1283.85,UID93,10,1068.12,0.0258,128.38
2024-08-01 14:07:22.323296,Holiday Sale,Group C,Tablet,Florida,25-34,Female,9169,295,498.16,UID289,4,331.47,0.0136,124.54
2024-09-05 14:07:22.323296,Holiday Sale,Group A,Desktop,California,25-34,Male,1402,76,139.61,UID108,1,94.52,0.0132,139.61
2024-09-09 14:07:22.323296,Brand Awareness,Group B,Mobile,Texas,55-64,Male,3136,190,891.23,UID449,5,444.23,0.0263,178.25
2024-07-08 14:07:22.323296,Brand Awareness,Group C,Mobile,Illinois,25-34,Female,6364,362,334.89,UID98,7,674.96,0.0193,47.84
2024-06-25 14:07:22.323296,Holiday Sale,Group B,Tablet,Texas,18-24,Female,11125,627,450.88,UID404,9,483.52,0.0144,50.1
2024-08-08 14:07:22.323296,Holiday Sale,Group A,Mobile,Illinois,18-24,Male,10563,652,776.15,UID420,10,736.44,0.0153,77.61
2024-07-12 14:07:22.323296,Brand Awareness,Group A,Mobile,California,55-64,Male,6786,151,208.09,UID71,4,444.68,0.0265,52.02
2024-08-22 14:07:22.323296,Holiday Sale,Group A,Desktop,California,45-54,Male,7888,319,332.73,UID134,7,616.86,0.0219,47.53
2024-08-16 14:07:22.323296,Product Launch,Group A,Mobile,California,18-24,Male,3530,343,395.1,UID444,4,423.8,0.0117,98.78
2024-08-12 14:07:22.323296,Product Launch,Group B,Mobile,Texas,18-24,Female,5527,201,187.17,UID450,2,215.65,0.01,93.58
2024-06-19 14:07:22.323296,Product Launch,Group A,Desktop,New York,55-64,Male,1215,52,97.67,UID431,1,94.64,0.0192,97.67
2024-08-04 14:07:22.323296,Holiday Sale,Group A,Tablet,Texas,35-44,Male,11401,222,139.59,UID163,4,247.55,0.018,34.9
2024-07-05 14:07:22.323296,Brand Awareness,Group C,Tablet,Texas,25-34,Male,3365,303,446.0,UID457,6,548.41,0.0198,74.33
2024-06-26 14:07:22.323296,Holiday Sale,Group A,Desktop,Florida,18-24,Male,5899,397,354.48,UID404,6,514.25,0.0151,59.08
2024-08-03 14:07:22.323296,Holiday Sale,Group C,Desktop,Florida,35-44,Male,10675,738,1839.81,UID351,15,1126.82,0.0203,122.65
2024-06-18 14:07:22.323296,Brand Awareness,Group A,Tablet,Texas,45-54,Male,1770,69,114.1,UID256,1,108.15,0.0145,114.1
2024-07-26 14:07:22.323296,Brand Awareness,Group A,Tablet,Illinois,35-44,Male,2621,99,119.2,UID461,2,127.39,0.0202,59.6
2024-09-06 14:07:22.323296,Brand Awareness,Group C,Tablet,Florida,55-64,Female,5535,119,366.35,UID245,3,318.77,0.0252,122.12
2024-07-22 14:07:22.323296,Product Launch,Group A,Tablet,Texas,45-54,Female,7248,313,100.29,UID180,7,440.44,0.0224,14.33
2024-07-09 14:07:22.323296,Holiday Sale,Group B,Tablet,New York,45-54,Female,7284,252,268.78,UID340,6,299.33,0.0238,44.8
2024-06-28 14:07:22.323296,Brand Awareness,Group B,Desktop,Illinois,35-44,Male,4921,239,308.62,UID349,5,385.36,0.0209,61.72
2024-08-28 14:07:22.323296,Holiday Sale,Group A,Mobile,California,55-64,Female,11304,57,94.0,UID498,1,84.54,0.0175,94.0
2024-07-16 14:07:22.323296,Product Launch,Group B,Tablet,Texas,18-24,Male,7526,204,397.19,UID3,2,233.34,0.0098,198.6
2024-06-25 14:07:22.323296,Product Launch,Group C,Tablet,Texas,35-44,Male,7202,297,895.94,UID52,6,522.66,0.0202,149.32
2024-08-14 14:07:22.323296,Brand Awareness,Group A,Mobile,Illinois,18-24,Male,9826,512,483.68,UID78,7,405.69,0.0137,69.1
2024-07-02 14:07:22.323296,Brand Awareness,Group A,Mobile,Florida,35-44,Male,4398,178,136.71,UID219,3,265.16,0.0169,45.57
2024-07-11 14:07:22.323296,Holiday Sale,Group C,Mobile,Florida,18-24,Female,14019,327,211.11,UID288,4,329.9,0.0122,52.78
2024-08-08 14:07:22.323296,Brand Awareness,Group C,Mobile,Florida,35-44,Male,384,23,31.86,UID39,0,0.0,0.0,0.0
2024-08-07 14:07:22.323296,Holiday Sale,Group C,Mobile,California,45-54,Male,11872,257,387.5,UID4,6,410.69,0.0233,64.58
2024-09-04 14:07:22.323296,Brand Awareness,Group A,Mobile,Illinois,25-34,Female,6804,429,661.85,UID167,8,616.4,0.0186,82.73
2024-09-09 14:07:22.323296,Holiday Sale,Group C,Desktop,Illinois,45-54,Female,8244,236,209.46,UID392,4,275.25,0.0169,52.36
2024-08-28 14:07:22.323296,Holiday Sale,Group C,Mobile,Florida,18-24,Female,7740,534,238.26,UID173,7,738.1,0.0131,34.04
2024-07-05 14:07:22.323296,Holiday Sale,Group B,Mobile,Florida,55-64,Male,7032,298,276.9,UID86,7,378.91,0.0235,39.56
2024-07-28 14:07:22.323296,Holiday Sale,Group B,Desktop,New York,45-54,Female,10809,321,255.64,UID276,7,537.49,0.0218,36.52
2024-06-19 14:07:22.323296,Product Launch,Group A,Mobile,New York,25-34,Male,5904,410,1154.09,UID498,7,854.5,0.0171,164.87
2024-09-09 14:07:22.323296,Holiday Sale,Group B,Tablet,Texas,18-24,Male,5316,302,171.5,UID480,4,283.59,0.0132,42.88
2024-07-25 14:07:22.323296,Brand Awareness,Group B,Tablet,Texas,45-54,Female,6803,551,1065.05,UID5,13,1776.79,0.0236,81.93
2024-08-12 14:07:22.323296,Product Launch,Group C,Mobile,Illinois,35-44,Female,9802,261,591.55,UID411,4,344.99,0.0153,147.89
2024-09-11 14:07:22.323296,Product Launch,Group C,Desktop,Illinois,55-64,Female,1374,72,143.86,UID55,1,60.5,0.0139,143.86
2024-08-07 14:07:22.323296,Holiday Sale,Group B,Tablet,California,18-24,Male,14571,1344,651.01,UID129,21,1237.8,0.0156,31.0
2024-08-27 14:07:22.323296,Product Launch,Group B,Desktop,California,45-54,Male,3511,201,515.49,UID494,4,339.38,0.0199,128.87
2024-07-06 14:07:22.323296,Holiday Sale,Group B,Tablet,New York,18-24,Male,4618,224,223.83,UID40,3,133.19,0.0134,74.61
2024-09-05 14:07:22.323296,Brand Awareness,Group A,Mobile,Texas,35-44,Male,2510,73,41.24,UID360,1,91.65,0.0137,41.24
2024-08-18 14:07:22.323296,Holiday Sale,Group A,Desktop,New York,25-34,Male,7501,678,1263.96,UID142,13,1078.38,0.0192,97.23
2024-08-17 14:07:22.323296,Product Launch,Group A,Desktop,New York,45-54,Male,2928,131,318.03,UID245,2,176.24,0.0153,159.01
2024-08-24 14:07:22.323296,Brand Awareness,Group B,Desktop,Texas,18-24,Female,2683,199,294.92,UID356,3,277.44,0.0151,98.31
2024-06-18 14:07:22.323296,Holiday Sale,Group B,Tablet,California,18-24,Male,5433,202,383.84,UID328,3,254.82,0.0149,127.95
2024-08-18 14:07:22.323296,Brand Awareness,Group A,Tablet,Texas,18-24,Female,5276,319,610.45,UID175,5,425.17,0.0157,122.09
2024-06-29 14:07:22.323296,Brand Awareness,Group A,Tablet,Florida,25-34,Female,5469,197,519.38,UID269,3,337.14,0.0152,173.13
2024-08-29 14:07:22.323296,Product Launch,Group B,Mobile,Florida,18-24,Female,8978,759,1329.77,UID201,12,658.51,0.0158,110.81
2024-07-06 14:07:22.323296,Brand Awareness,Group C,Tablet,Florida,55-64,Female,7436,223,698.67,UID224,6,484.06,0.0269,116.44
2024-09-08 14:07:22.323296,Product Launch,Group A,Mobile,Illinois,55-64,Female,8458,267,195.43,UID139,7,574.39,0.0262,27.92
2024-07-31 14:07:22.323296,Brand Awareness,Group B,Desktop,California,18-24,Male,4476,306,165.84,UID21,5,620.91,0.0163,33.17
